Period [us],Frequency [Hz]
878,1138.952164
884,1131.221719
881,1135.07378
878,1138.952164
881,1135.07378
876,1141.552511
881,1135.07378
871,1148.105626
874,1144.16476
877,1140.250855
876,1141.552511
879,1137.656428
883,1132.502831
882,1133.786848
881,1135.07378
880,1136.363636
881,1135.07378
885,1129.943503
884,1131.221719
886,1128.668172
881,1135.07378
881,1135.07378
883,1132.502831
880,1136.363636
881,1135.07378
877,1140.250855
878,1138.952164
883,1132.502831
881,1135.07378
884,1131.221719
888,1126.126126
881,1135.07378
885,1129.943503
882,1133.786848
886,1128.668172
889,1124.859393
884,1131.221719
889,1124.859393
884,1131.221719
885,1129.943503
885,1129.943503
883,1132.502831
885,1129.943503
882,1133.786848
884,1131.221719
882,1133.786848
881,1135.07378
887,1127.395716
892,1121.076233
894,1118.568233
901,1109.877913
895,1117.318436
898,1113.585746
897,1114.827202
900,1111.111111
902,1108.64745
898,1113.585746
902,1108.64745
895,1117.318436
896,1116.071429
892,1121.076233
889,1124.859393
891,1122.334456
889,1124.859393
887,1127.395716
883,1132.502831
881,1135.07378
882,1133.786848
882,1133.786848
883,1132.502831
886,1128.668172
885,1129.943503
888,1126.126126
887,1127.395716
890,1123.595506
895,1117.318436
891,1122.334456
901,1109.877913
897,1114.827202
896,1116.071429
900,1111.111111
896,1116.071429
897,1114.827202
896,1116.071429
894,1118.568233
890,1123.595506
894,1118.568233
893,1119.820829
892,1121.076233
895,1117.318436
894,1118.568233
891,1122.334456
892,1121.076233
891,1122.334456
892,1121.076233
901,1109.877913
894,1118.568233
899,1112.347052
893,1119.820829
896,1116.071429
903,1107.419712
898,1113.585746
900,1111.111111
904,1106.19469
905,1104.972376
904,1106.19469
898,1113.585746
903,1107.419712
903,1107.419712
900,1111.111111
899,1112.347052
895,1117.318436
894,1118.568233
897,1114.827202
893,1119.820829
899,1112.347052
894,1118.568233
900,1111.111111
894,1118.568233
893,1119.820829
897,1114.827202
892,1121.076233
897,1114.827202
895,1117.318436
896,1116.071429
899,1112.347052
894,1118.568233
896,1116.071429
896,1116.071429
896,1116.071429
898,1113.585746
894,1118.568233
895,1117.318436
888,1126.126126
891,1122.334456
893,1119.820829
891,1122.334456
894,1118.568233
892,1121.076233
889,1124.859393
895,1117.318436
886,1128.668172
893,1119.820829
893,1119.820829
893,1119.820829
898,1113.585746
898,1113.585746
902,1108.64745
904,1106.19469
904,1106.19469
908,1101.321586
903,1107.419712
904,1106.19469
903,1107.419712
899,1112.347052
904,1106.19469
904,1106.19469
905,1104.972376
908,1101.321586
904,1106.19469
905,1104.972376
903,1107.419712
909,1100.110011
902,1108.64745
898,1113.585746
904,1106.19469
897,1114.827202
897,1114.827202
900,1111.111111
896,1116.071429
898,1113.585746
897,1114.827202
898,1113.585746
898,1113.585746
900,1111.111111
906,1103.752759
902,1108.64745
907,1102.535832
908,1101.321586
904,1106.19469
912,1096.491228
911,1097.694841
913,1095.290252
914,1094.091904
913,1095.290252
919,1088.139282
912,1096.491228
909,1100.110011
904,1106.19469
901,1109.877913
900,1111.111111
895,1117.318436
894,1118.568233
896,1116.071429
891,1122.334456
895,1117.318436
890,1123.595506
894,1118.568233
894,1118.568233
895,1117.318436
898,1113.585746
893,1119.820829
897,1114.827202
900,1111.111111
902,1108.64745
907,1102.535832
903,1107.419712
913,1095.290252
910,1098.901099
915,1092.896175
917,1090.512541
916,1091.703057
920,1086.956522
919,1088.139282
923,1083.423619
920,1086.956522
916,1091.703057
916,1091.703057
914,1094.091904
915,1092.896175
917,1090.512541
912,1096.491228
918,1089.324619
911,1097.694841
913,1095.290252
913,1095.290252
913,1095.290252
917,1090.512541
911,1097.694841
915,1092.896175
912,1096.491228
911,1097.694841
911,1097.694841
908,1101.321586
906,1103.752759
903,1107.419712
901,1109.877913
901,1109.877913
898,1113.585746
902,1108.64745
900,1111.111111
902,1108.64745
908,1101.321586
907,1102.535832
913,1095.290252
909,1100.110011
910,1098.901099
916,1091.703057
913,1095.290252
918,1089.324619
916,1091.703057
918,1089.324619
922,1084.598698
909,1100.110011
912,1096.491228
909,1100.110011
907,1102.535832
909,1100.110011
905,1104.972376
909,1100.110011
907,1102.535832
910,1098.901099
913,1095.290252
909,1100.110011
915,1092.896175
909,1100.110011
914,1094.091904
906,1103.752759
905,1104.972376
910,1098.901099
905,1104.972376
